Nama Produk,Harga,Link,Gambar
ASUS LAPTOP NOTEBOOK ZENBOOK UX3405CA-OLED5112T INTEL CORE ULTRA 5-225H,Rp 17.599.000        Rp 16.499.000,https://myhartono.com/en/asus-laptop-notebook-zenbook-ux3405ca-oled5112t-intel-core-ultra-5-225h/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/409/UX3405CA-OLED5112T.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK 14 A1404ZA-VIPS557M INTEL CORE I5-1235U,Rp 8.399.000        Rp 8.099.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-14-a1404za-vips557m-intel-core-i5-1235u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/402/90NB1001-M00W20.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E1404GA-FHD351 INTEL CORE I3-N305,Rp 6.499.000        Rp 5.199.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e1404ga-fhd351-intel-core-i3-n305/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/381/90NB0ZW2-M00C80-0.jpg
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E1404GA-FHD351M INTEL CORE I3-N305,Rp 6.599.000        Rp 6.099.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e1404ga-fhd351m-intel-core-i3-n305/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/406/90NB0ZW2-M00FS0.webp
ASUS LAPTOP NOTEBOOK E1404FA-FHD3822M AMD RYZEN R3-7320U,Rp 6.099.000        Rp 5.899.000,https://myhartono.com/en/asus-laptop-notebook-e1404fa-fhd3822m-amd-ryzen-r3-7320u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/417/E1404FA-FHD3822M_E_copy.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK 14X K3405VA-OLEDS551 INTEL CORE I5-13500H,Rp 13.599.000        Rp 11.899.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-14x-k3405va-oleds551-intel-core-i5-13500h/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/372/K3405VA-OLEDS551_E-2.jpg
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E410KA-FHD426M INTEL CELERON N4500,Rp 4.899.000        Rp 4.649.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e410ka-fhd426m-intel-celeron-n4500-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/406/E410KA-FHD426M.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E410KA-FHD429 INTEL CELERON N4500,Rp 4.899.000        Rp 4.649.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e410ka-fhd429-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/397/90NB0UA5-M00XW0.webp
ASUS LAPTOP NOTEBOOK E410KA-FHD454M INTEL CELERON N4500,Rp 5.249.000        Rp 4.899.000,https://myhartono.com/en/asus-laptop-notebook-e410ka-fhd454m-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/404/E410KA-FHD454M_ECS-1_copy.WEBP
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E410KA-FHD454M INTEL CELERON N4500,Rp 5.199.000        Rp 4.899.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e410ka-fhd454m-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/406/90NB0UA5-M010W0.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E410KA-FHD426M INTEL CELERON N4500,Rp 4.899.000        Rp 4.649.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e410ka-fhd426m-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/398/E410KA-FHD426M.webp
ASUS LAPTOP NOTEBOOK A1404ZA-VIPS5853M INTEL CORE I5-1235U,Rp 7.999.000        Rp 7.699.000,https://myhartono.com/en/asus-laptop-notebook-a1404za-vips5853m-intel-core-i5-1235u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/A1404ZA-VIPS5853M-bms_copy.webp
